,Temp_OXid,ppm,Pressure,Oxid_time,N2_HMDS,pressure_HMDS,temp_HMDS,temp_HMDS_bake,time_HMDS_bake,temp_softbake,pr_thickness,Wavelength,exp_time,lense,Thin F4,Temp_Etching,Source_Power,Flux840s,input_Energy,Temp_implantation,Furance_Temp,RTA_Temp,flux_rate1,flux_rate2,flux_rate3,flux_rate4,target_bool,type_dry,type_wet,Vapor_H2O,Vapor_O2
0,1138.9791588,32.8,0.2,62,13.890999999999998,15.025,20.0,198.792,90.001,90.894,1.9356081949234756,365,40065.685,0.7064648306323151,251.0,70.878,50.851000000000006,6.000007e+17,31574.41,102.847,885.0,154,4153684233333333.5,3031717142857143.0,-145527500000000.0,832615000000000.0,0,1,0,1,0
1,1218.1845511,31.86,0.194,137,14.722,15.059,19.995,198.747,89.99799999999998,92.334,1.96878544979874,405,43376.31000000001,0.8069432987842055,317.0,69.561,52.283,6.000012e+17,31580.213,104.323,919.0,154,4307555733333333.5,3498117142857143.0,-256282812500000.0,828363611111111.1,0,1,0,1,0
2,1062.467808,39.51,0.217,128,19.205,14.964,19.997,202.139,90.0,91.868,2.081915642856974,436,48165.356,0.860384805130735,411.0,70.968,51.61,6.000002e+17,32162.414,100.605,916.0,155,2340296666666666.5,7337531714285714.0,-943833125000000.0,834936388888888.9,0,1,0,0,1
3,1114.7047728,32.88,0.201,90,16.368,14.944,19.998,199.649,90.001,91.881,1.9644516982849092,436,46683.392,0.8110073790510841,256.0,70.146,51.286,6.000003e+17,32874.925,101.739,911.0,156,2876087666666666.5,-447097428571428.56,727083000000000.0,835735833333333.4,0,1,0,0,1
4,989.41194619,38.11,0.204,98,13.925999999999998,14.933,20.002,204.544,90.001,91.212,1.9582568306193704,436,47119.828,0.7777742100061722,419.0,71.17399999999998,51.996,6.000013e+17,30985.928,106.422,872.0,155,3748423200000000.0,1819815714285714.5,159214375000000.0,831788055555555.5,0,1,0,1,0
5,979.10970259,39.93,0.204,132,11.919,15.132,20.007,201.962,90.0,91.85,1.936683573634267,405,43315.15500000001,0.808557533360485,359.0,71.709,51.931,5.999986e+17,31997.243,103.466,924.0,149,2722638333333333.0,5038298714285714.0,-455530000000000.0,832374166666666.6,0,0,1,1,0
6,1136.1149535999998,35.63,0.2,74,16.358,15.083,19.997,205.548,90.001,92.193,2.095480795959156,436,47308.18,0.8434133479834491,151.0,71.354,51.44600000000001,5.999998e+17,31464.087000000003,100.054,882.0,154,2196245333333332.8,3484729428571428.5,-76036875000000.0,833468055555555.5,0,0,1,0,1
7,1096.2418486,28.6,0.199,291,12.465,14.91,19.998,202.558,89.999,92.359,1.8955801038135676,436,46295.788,0.8860077830500208,316.0,70.76100000000002,51.053,6.000005e+17,31776.157000000007,104.328,885.0,153,2863885333333333.0,1861461571428571.5,226186562500000.0,829108055555555.5,0,1,0,1,0
8,1042.2439924,34.58,0.203,61,13.463,15.015999999999998,19.998,202.294,90.0,92.549,1.9846383825574698,405,44128.8,0.8001074712257646,294.0,71.71600000000002,51.209,5.999996e+17,31692.407000000007,104.575,906.0,156,3993441666666666.5,1.6202908571428572e+16,-3036022500000000.0,834407777777777.8,0,1,0,0,1
9,1104.8362847,34.95,0.204,117,11.535,15.198,20.002,200.821,90.00200000000002,91.49,1.8679842902332335,405,44390.025,0.8107247879604366,466.0,69.94800000000001,50.944,5.999989e+17,32927.629,106.633,898.0,158,604881633333333.4,6292112428571429.0,-518404375000000.0,830386944444444.5,0,1,0,1,0
10,1077.751749,32.59,0.189,87,18.638,15.012,20.001,201.924,90.00200000000002,92.318,1.900274463360418,405,43554.914999999986,0.771105441529264,223.0,70.61,51.473,6.000002e+17,31691.366,105.291,891.0,156,218879000000000.0,1.3372501428571428e+16,-2065822187500000.0,836260833333333.4,0,1,0,0,1
11,1113.7120291,38.02,0.218,80,12.013,14.981,20.001,200.521,90.001,93.669,1.9655178425482092,436,48440.03599999999,0.8922797337895695,562.0,71.067,51.129,5.999984e+17,31201.151,105.485,906.0,153,2512306000000000.0,9350836142857142.0,-1385339687500000.0,832407777777777.8,1,1,0,1,0
12,1193.9659897,33.81,0.202,149,15.182,15.034,19.994,199.034,90.0,91.66,1.920321330413299,436,46734.84,0.9112874233975136,416.0,69.934,51.099,6.000021e+17,31655.39,104.646,898.0,151,3602345000000000.0,9401997142857142.0,-1492020937500000.0,826328611111111.1,0,1,0,0,1
13,1098.1779675,29.05,0.21600000000000005,149,18.211,15.005999999999998,20.001,197.707,90.0,94.355,1.9684780622143268,365,40237.6,0.7062652500082237,365.0,72.593,50.252,6.000011e+17,30953.889,104.291,897.0,152,3293772666666666.5,6984635714285714.0,-929326875000000.0,825099166666666.6,0,1,0,0,1
14,1013.7034861,49.91,0.209,101,15.836,14.925,19.993,194.126,90.0,92.48,1.964661753909436,405,44540.28,0.7653321541549032,556.0,71.75399999999998,52.645,5.999996e+17,31211.391,102.585,899.0,151,2952543433333333.0,1898037428571428.5,225779375000000.0,830716666666666.6,0,1,0,0,1
15,1102.4255833,32.47,0.203,112,15.931,15.1,20.004,199.703,90.0,94.036,1.9915674952370437,405,44694.99,0.8568037623205208,447.0,71.441,51.015,5.999984e+17,31603.462000000003,106.007,910.0,156,1296516533333333.2,1.3542622285714286e+16,-2178682187500000.0,835506111111111.1,0,0,1,0,1
16,1100.6468747,32.82,0.205,101,13.723,14.879,19.998,198.575,90.0,93.318,2.0055161211032297,365,39208.3,0.6497240008045898,248.0,71.163,50.547,5.999975e+17,31197.908,103.454,910.0,155,1416222000000000.0,7498612285714286.0,-876713750000000.0,834073611111111.1,0,1,0,0,1
17,996.16264084,36.66,0.194,148,13.934,14.899,20.001,198.429,90.0,90.195,1.8829274820565292,365,39670.025,0.6970198106397687,417.0,70.345,50.843,5.999992e+17,31359.595,103.046,894.0,156,5241663866666667.0,1.1704862857142858e+16,-2139954687500000.0,832728333333333.4,0,1,0,1,0
